id,comment_text,toxicity,label_sexual_orientation
241137,"Is there any such thing as a 'gay trans woman '?  Technically?  Theoretically, for example, a female, once you become your born sex, anatomically, you will be/continue to be attracted to women and not necessarily gay women.",toxic,homosexual_gay_or_lesbian
242346,"Well, this wasn't meant to be a dissertation. It's an entertainment piece, so I was mostly trying to be funny—whether I was successful in that regard is up to the reader. And of all these guys, I have a certain fondness for Hitchens, as I make clear, but I had to make fun of him for that whole ""women aren't funny"" thing. And while I can't say I have any ""favorite"" atheist artists or writers—I don't really seek them out, to be honest—I certainly don't think all atheists are ""awful"" (some of my best friends are atheists; some of them may even be gay and/or black!). I mostly just get annoyed when someone thinks identifying as an atheist inherently makes them smarter than a rational theist. I'm cool with whatever philosophical choice you've decided to live your life under, as long as you're not a dick about it.",toxic,homosexual_gay_or_lesbian
242744,"As far as i can tell, there is one reason to vote for Hillary, which you mention, but so very many reasons not to.  I fear she lost her soul to the establishment, and find it hard to believe she makes any decisions without polling it first. NAFTA, the war in Iraq, gay marriage, legalizing marijuana, the TPP, etc., etc. etc.  She votes for what's politically popular every time.  I wish Elizabeth Warren was running!",toxic,homosexual_gay_or_lesbian
243462,"Other than the inherent hypocricy, it really doesn't matter.  Personally, as I've stated before, I don't judge candidates by gender.  Male, Female, Lesbian, Gay, Bi-sexual or Transgender is pretty irrelevant for me.  What are your polices and beliefs are what I'm interested in.   For Gloria Steinem and Madeleine Albright, sex defines their politics and that's kind of sad.  Any woman is better than any man seems to be their mantra.  I'm glad to see that the younger generation seems to have a more liberal attitude than these old warriors who can't forget the past.",toxic,homosexual_gay_or_lesbian
244608,"Dave - if the 13 year old were gay or bisexual, Avakian would have imposed a big fine like the cake or the karaoke bar back when they filed the criminal case. I think avakians bias is already clear.",toxic,bisexual
244661,Interesting.  But since no one has ever  been fined for refusing to bake a cake for a gay wedding.  I can't see how it wouldn't be.,toxic,homosexual_gay_or_lesbian
246297,"The point is: Imago Dei has doctrines that are repugnant to me and other Portlanders.  We hear the all-male ""Elders"" arguing for 1. female submission 2. unmarried households are living in sin 3. gay sex is sin.

This is not a flawed doctrine- it is a homophobic misogynist doctrine that your evangelical church wants to spread.  You are no different from a Santorum supporter except that the Santorum supporter is more honest and will not deny their church's doctrine.",toxic,homosexual_gay_or_lesbian
246339,"This is just another of Nathan's veiled defenses of homophobia. My gay friends can't be holy unless they go straight or celibate.  This isn't a ""challenge"" this is prejudice pure and simple.

Imago Dei = Westboro Church without the colorful signs.  

Having said that, let's all have a moment of silence for Jules Bailey's political career.  May it rest in peace.  Ashes to ashes, dust to dust, defeat on election day.",toxic,homosexual_gay_or_lesbian
246730,"Imago Dei is a large institution with political clout that condemns your mom as a sinner.  I don't call that ""love.""  Imago Dei's anti-gay evangelism is different from my Aunt Agnes expressing discomfort with gay marriage over tea.

My goal is to make sure that Bailey loses this election.  I won't change the minds of those who buy into  Imago Dei patriarchy/homophobia trip and I kinda don't care.
If I dissuade someone from joining the group- well that is worthwhile and a possibility.

Posting under a new screen name that is an alteration of my screen name annoys me.
Show a little more originality.",toxic,homosexual_gay_or_lesbian
246854,"I-Pi, I assume that Neighbor99 is someone connected to the church or Jules Bailey and that they signed up just to convince me that the LGBT community can feel safe with a man who attends and supports a church that is anti-gay and misogynistic. 

We have accused each other of intellectual dishonesty- but that doesn't translate to dishonest acts.  I am sure you wouldn't steal my paper, and I would never clip your flowers.

BTW- I believe that some issues have gray areas- but reject the kind of ""moral relativism"" that allows for people to say that some patriarchy, some denial of civil rights to gays- is okay when sprinkled with pretty words.  It ain't.",toxic,homosexual_gay_or_lesbian
247267,"I appreciate your thoughtful response. I must contest your terms, however, as they mean everything. The fundamental issue that has you and others here perplexed, is that though disagree as he does with his church on women in leadership and marriage equality Jules Bailey doesn't seem to think his fellow members are either misogynistic or homophobic. That is, he must not believe the members and leadership of Imago Dei hate or mistreat women and they don't fear or mistreat homosexuals. What if this is actually true? The progressive community is now far too exclusive and refuses to hear the opinions and perspectives of people it disagrees with. Its group think. And...fear. 

Let the man believe what he wants, and worship where he will. What a majority on here are saying is that he's a viable candidate except he hangs out with undesirables...people who believe (peacefully, without controversy) counter to the majority. This runs counter to self-purported progressive Portland values.",toxic,homosexual_gay_or_lesbian
247714,"The Southern Baptists are a product of the Civil War when they split with Northern Baptists over slavery. They are the second largest denomination in the US and are particularly virulent in their homophobia. Equality for women fairs poorly with them as well. 
The Conservative Baptists broke with the Northern Baptists in the 40's (?) because that group (now the American Baptists) were too liberal. Conservative Baptists are certainly homophobic and misogynistic (IMHO) but much lower key than the Southern Baptists. Western Seminary on Mt Tabor, Imago Dei and Hinson Baptist Church (the originator of the ex-gay group the Portland ""Fellowship"") are local examples of Conservative Baptist congregations. Because of their reputations, both Southern and Conservative Baptists churches who are trying to appeal to young, urbanites will often drop the ""Baptist"" from their logos to brand themselves as ""independent"" and all.",toxic,homosexual_gay_or_lesbian
248504,"I think people are just shocked that somebody from the right is acting like a bully.   The people on the right have been bullied for decades.  First it was civil rights, then abortion, and gay rights.   Now it seems to be transgender rights.   If you do not say or do the current correct things according to the left, you are ridiculed and shut out of the town square.",toxic,homosexual_gay_or_lesbian
249729,"We get it.  Jules feels at home with people who support female submission and denial of civil rights to gays.  Jules hums ""kumbiya"" while a guy preaches the same stuff that Ted Cruz hears every Sunday.   And Jules will have lots of time to practice denial when he returns to the private sector.",toxic,homosexual_gay_or_lesbian
249733,"https://en.wikipedia.org/wiki/Progressive_Baptists

You must agree that the list of Conservative/Southern Baptist leaders is a list of some of the worst men in America- Franklin Graham, Falwell, Cruz etc.  Imago Dei is not that far off.

We are not friends.  We are enemies, Jen.  I want Imago Dei to be exposed for what it is and lose members.  I want Jules Bailey to lose the mayoral election.  I want civil rights for my gay friends.  If Pastor McKinley ever said to my face what he says about unmarried couples in print, he would regret it.  I hope he loses his congregation because he preaches a destructive & sneaky take on the supernatural sky god who talks to you (but not me).",non-toxic,homosexual_gay_or_lesbian
249748,"Hey everyone: this is an amazing comment from an Imago Dei member: ""No one is better off, in any significant way, because the state of Oregon has approved their union. ""
This is the company Jules Bailey keeps. 

No gay people are better off with gay marriage.  I guess all my gay activist friends are dumb, because they worked for something meaningless, as per Jen W's analysis.",toxic,homosexual_gay_or_lesbian
249961,"Please share. How is anyone better off because the State of Oregon has given their stamp of approval to their union, gay, straight, whatever? You avoided giving us a real answer. The ""advantages"" to marriage are what? Hospital visitation rights? 
Be with whoever you want to be with. Live life. But for gosh sakes, who gives a flip if the state says it's kosher?
Do the research. Marriage only became something the government got involved in fairly recently in history. And it was a coupe extremely conservative guys who have churches named after them now who pushed for the change! That's why the current state of affairs is so ironic.",toxic,homosexual_gay_or_lesbian
249983,"Here's the picture of Obama's neat gold present from the King of Saudi Arabia.  He cut a visit to India short to go get it.  June 3, 2009  Then Hillary Clinton helped put together the US fighter jet deal so Saudi Arabia could use them against Yemen.

http://www.cbsnews.com/pictures/obama-in-saudi-arabia/14/

George W Bush got a neat sword there the year before, but he had to kiss the King and hold hands with him while doing a sword dance to get it.

And George W. had already banned Syrian politicians and their families from immigrating to the US which Saudi Arabia wanted done. 

Nothing too good for our allies.  Even though they are misogynist mutilators of women.  Hillary didn't care.  Obama didn't care.  George W. didn't care.  

I wonder why it's OK for Muslims to have four (4) wives and Mormons can only have one?   Now that gay marriage is approved, maybe the Supreme Court will answer that question, too.",toxic,homosexual_gay_or_lesbian
250022,Could you clarify your accusation of the church being scared of gay people? And how are they misogynist?,toxic,homosexual_gay_or_lesbian
250152,JenW doesn't believe that Evangelical churches mobilized against gay rights.  Hilarious.,toxic,homosexual_gay_or_lesbian
250188,"Sure it does. What else would you call it? What is the reason for being armed...what would the justification be if not intimidation or to give out the message that they are willing to use deadly force? Would the Klan be allowed to carry at a public demonstration? How about an armed Gay pride parade?  how about black muslims carrying guns on a march to DC? Just what did this ""standoff"" accomplish for the ranch owners? Did they win ANYTHING? Did they gain one ounce of public support? The majority of the public has no understanding or sympathy. Does anyone even know what it was they were ""protesting""? I don't, and I have followed all the news stories.  Are they against tribal ownership of lands? Against wildlife refuges? What? Who cares?",toxic,homosexual_gay_or_lesbian
250345,"You live on wrong assumptions my friend. Your arguments depend on them. I have no use for Franklin Graham. He is not a great conservative minister. Where do you get that idea? His father perhaps, but not Franklin. Why do you assume so often and always incorrectly? You either confused me with someone else, or it was just another one of your broad brush strokes to paint all churchgoers as gay-hating and women denigrating. Nothing could be further from the truth.",toxic,homosexual_gay_or_lesbian
250478,"Let's use words the way they are meant to be used, the way they are defined in the dictionary. From the dictionary:  irrational fear of, aversion to homosexuality or homosexuals
ho·mo·pho·bic play \-ˈfō-bik\ adjective

Have you interviewed pastor Rick or do you know him? Then please do not speak for him or for me.",non-toxic,homosexual_gay_or_lesbian
250483,"I wasn't thinking of any national figures, rather people right here on this thread. The notion seems to be if you can't get on the bandwagon of marriage equality, you don't deserve to be part of society. 
No one has attempted to answer: 1) how anyone - gay or straight - is better off because the state gov has said your marriage rocks. 2) what is wrong with allowing a sub-set of society, call them old fashioned if you like, they won't mind, to define marriage the way it has been defined for thousands of years.
And why not keep fighting, this time for polyamorous marriage?",toxic,homosexual_gay_or_lesbian
250493,"See my comment elsewhere about the irony of folks who want a state sanctioned marriage, especially a non-religious gay couple, when the origin of state sanctioned marriage came from a couple hardcore religious conservatives in the 16th and 17th century whose name you will see on churches all over town. Bizarre. Do your research.",toxic,homosexual_gay_or_lesbian
250498,"Oppose civil rights for gays? Nope. You are using civil rights as code for marriage. But you still haven't taken a stab at why any couple is better off with a piece of paper in their possession that says ""marriage certificate""? Sweden is very progressive. Most young couples there do not care about the piece of paper anymore. Makes a lot of sense.

Alternatively, you are not helping fight for poly-amorous marriage. Why not?",toxic,homosexual_gay_or_lesbian
250604,"Imago Dei & Pastor McKinley believe that gay sex is sinful and that gays do not deserve the protections that come with legal marriage.  That is treating them as second class citizens.  My friend Jason's love for his husband means nothing to Pastor McKinley, yet Jason's love for his husband is very much part of who Jason is.

Please source Pastor McKinley saying something in support of equality between a gay couple and a hetero married couple.

It has to be specific to homosexuality- I am not gonna accept some punt from the New Testament about loving everyone. I want McKinley saying that gays are equal.",toxic,homosexual_gay_or_lesbian
250725,"Why not misconstrue arguments?  Support for gay marriage= anarchy.
False equivalency.
But I see you have the fundie playbook for opposing civil rights for gays.
You are exposing yourself more & more as a bigot.  Shouldn't you be spending more time submitting to your husband?",toxic,homosexual_gay_or_lesbian
250751,"Wikipedia:
Homophobia encompasses a range of negative attitudes and feelings toward homosexuality or people who are identified or perceived as being lesbian, gay, bisexual or transgender (LGBT).[1][2][3] It has been defined as contempt, prejudice, aversion, hatred or antipathy, may be based on irrational fear, and is sometimes related to religious beliefs.[4]

I don't need to meet Trump or McKinley to know they are bigots.  I will say whatever I want about you or him, "" my friend""",toxic,bisexual
250766,"Obscure, historical irony trumps modern day civil rights for gay families and their children, according to Jen W.  

For those of us in the fact-based world, state sanctioned civil marriage rights effect insurance, accumulation of wealth, who you name for death benefits,  who can adopt and other things that are important in the real, fact-based world.

Jen W wants Leo and his husband to have a hard time with their household affairs because they are same sex.  They want Leo and his husband to be treated differently by the tax code than my friends Susan and Steven, also married around 19 years.",toxic,homosexual_gay_or_lesbian
250770,"Yes, white people are responsible for the privilege we carry, part of which is due to oppression of other races. Similarly, heterosexual people are responsible for the privilege they carry, part of which results from placing themselves on pedestals they deny to other loves.

As for my knowledge of Christianity, I am a Christian. I'm simply not an Evangelical, which is a modern, Western, anti-intellectual sect, which tends to idolize the Bible as some form of Cosmic Rule Book, rather than actually practice Christ's commandment to love God and neighbor. Having been at the receiving end of Evangelical political hostility for 30 years - right here in Portland - I'm speaking from experience.

If Imago Dei doesn't want to be identified with its Conservative Baptist brethren, it should disassociate from that denomination, and treat women and LGBTQ people as equals. Until it does ... it can expect to be treated like any other right-wing church. Tattoos cover skin, not hardened hearts.",toxic,heterosexual
251136,"Since she has basically announced that she only wants women as tenants, ""a shared work space for women-owned ventures."",  Strgar would appear to be in violation of the Oregon statutes prohibiting discrimination based on gender.  Who wants to file the first complaint with BOLI?  The last one involving rejection of a couple of gay women and a cake resulted in a $135,000 award.  ""BOLI:  Filing a complaint usually begins by filling out a complaint Questionnaire and returning it to the Portland office. The Questionnaire is available online"" 

From that Award:  

""Within Oregon’s public accommodations law is the basic principle of human decency that every person, regardless of their sexual orientation, has the freedom to fully participate in society.""",toxic,homosexual_gay_or_lesbian
251273,"A Muslim once told me that Islam would cure all of the ills that are plaguing American society.  He likened America to being a disease, and that Islam was the cure for that disease.  If America would only convert to Islam, then he said that poverty, social unrest, alcoholism, drug addiction, prostitution, adultery, mental illness, HIV, divorce, homosexuality, murder, suicide, and even juvenile delinquency and rebellion would all end.  

Islam is the world's salvation, he argued. He viewed America as being a horrific cesspool of immoral vileness: a hideous place to live in.  He stated that the biggest failing of our schools is that they do not teach obedience to God.  Without a proper religious education, he argued American students had no moral foundation to build an education upon.   He said that they cannot learn knowledge, without first learning God's will through his prophet.  

America's secular society will eventually cause our own destruction from within, he predicted.",toxic,homosexual_gay_or_lesbian
251506,"Well, you still have  a problem, IMHO.  Fundy churches have been advocating against gay marriage, and saying that gays are somehow lesser beings spiritually, well it's still bigotry.",toxic,homosexual_gay_or_lesbian
251536,"Hmm- did you read my post? I said that your position on gays is, technically speaking, bigotry.

I won't vote any member of Imago Dei.  Do you really think Pastor McKinley is going to change his conservative Baptist ways and reject female submission and embrace equality of gays and heteros?

By your logic, it would be okay for me to join (insert name of organization you dislike)
and give them money on the off chance that the group may change due to my superior reasoning?

There's no solution for Imago Dei.  They are Conservative Baptists and they try and
wrap bigotry in religious doctrine so that they can escape criticism.  Because I don't recognize the Bible as holy and because I don't see the Pastor as having spiritual authority, I am writing the whole church off.  I think the world would be a better place if Imago Dei shrinks because their doctrine is unacceptable. 

There is nothing gracious or compassionate about treating women and gays as second class citizens.",toxic,homosexual_gay_or_lesbian
252172,"You are in denial about your anti-gay attitude.  Yes, I don't say ""sky god"" around Jason, but he doesn't try and wrap up prejudiced, antiquated and intellectually dishonest junk in religion-scented wrapping paper to pretend it doesn't smell.

There are very few references to homosexuality in the Bible- far fewer than references to menstruation as ritually unclean, or the appropriate time to kill babies, or how to beat slaves properly.  

Young gays have a higher suicide rate.  Promise me you keep your homophobia to yourself and don't try and influence others in any way on this point.",toxic,homosexual_gay_or_lesbian
252188,"Not sure homophobia is a good way to describe something I have such an outwardly indifferent attitude towards.  Is the human species intended to pair heterosexually?  In my opinion yes, and I believe God had this intention.  Is the infrequent diversion from this norm bad in and of itself?  F**k if I know! 

The bible does reference it very little and I realize my posts seem very cut and dry.  Beyond the above reasoning I can't say or argue definitively what the role of monogamous homosexual relationships are within the church or what Gods view on them are.  That's why it's just my opinion, not some fact I'm going to use in manipulating others.  I think you are doing a disservice by equating disagreement with intolerance. 

 If I rarely drank your favorite kind of beer would you call me intolerant toward your preference? No, we would say ""huh, we like different things in a way that literally affects nothing"".  I believe a biblical stance on LBGT would have a similar impact to society.",non-toxic,homosexual_gay_or_lesbian
252202,"""Therefore, I support gay marriage as a legal right but not as a personal freedom for believers (just as I don’t support believers who engage in sexual immorality, greed, racism, pride, etc…)""

Your homophobic words are above.  And your prose smacks of seminary school- so I don't believe you don't care about the subject.

 ""I believe a biblical stance on LBGT would have a similar impact to society.""

Wrong.  Since people are born gay or straight, being prejudiced against them is no better than the Book of Mormon denying the priesthood to non-whites.

Why do you equate beer and sexual orientation? Was Matthew Shepard killed for drinking a Black Butte Porter?",toxic,homosexual_gay_or_lesbian
253659,"What examples can you cite of 'hate cards' played by the HF or the Cato Institute?  

If you want to see real political hate speech expressed in this country, it seems to me you just have to mention the phrase 'Koch Brothers' to a group of liberals.  :-/  (Although few if any of those liberals could tell you of a single, substantive thing a Koch brother ever did to them or to society - except be too white, too male, too heterosexual, too conservative, and have too much money.)

""... the fiction of trickle down ...""  Truth?  As I've pointed out elsewhere, Reaganomics resulted in oil prices steadily declining year by year for nearly a generation - and every penny-per-gallon decrease in the price of gas during that time was equivalent to a $100 million gift to the economy - *every month*.  Most of this was enjoyed by the middle class.  Review the history and run the numbers.  Go ahead.  I dast ya!  :D",toxic,heterosexual
254055,"The Senate does not have to do anything on nominees. End of story. The left has gotten everything they want - gov't healthcare, more welfare, gay marriage, a weakened US abroad, no more elephants at the circus, speech codes at universities not to offend anyone, crushing environmental regulations, open borders, and they are still unhappy.",non-toxic,homosexual_gay_or_lesbian
254362,Why stop the fight at gay marriage? Why not fight for the dissolution of straight marriage and for promoting poly-amorous marriage? You don't get it. You don't understand why anyone would be opposed to gay marriage do you?,toxic,homosexual_gay_or_lesbian
