id,comment_text,toxicity,label_diasability
239669,I think you left out one very important organization who help the mentally ill over 18. NAMI Multnomah. They help people with mental distress find within or without NAMI to find them the services that can be most beneficial to them.  I am a volunteer for NAMI Multnomah in their Connection program. It is a walk-in group to people 18 and up. No matter the diagnosis we welcome them and help them learn new coping skills and develop tools to further  help them learn to cope from week to week. We have groups all over Multnomah County. By going  to http://nami.multnomah.org/. You will with out much difficulty find the list of Connection Groups and their times and locations.,non-toxic,psychiatric_or_mental_illness
240813,"This is what a serious mental illness looks like, a sociopathic paranoic  criminal hysteria, armed and very dangerous....",toxic,psychiatric_or_mental_illness
241121,"Part 3
The owner of Remedy Wine Bar (which closes in days) asked people why they sh*t in his doorway when there is a Public Loo nearby.  Answer: Drug Dealers don’t allow them to use the loo; they’re doing business. 

Allowing that segment of the squatters who suffer (a) from mental illness or (b) addiction to rot outside is not an act of compassion.  If the Police may not engage, then they cannot triage.  YOU and Mayor Hales are, literally, killing them with your kindness. 

If you think I’m an illiberal jerk, I’ll tell that I gave a year of my life (unpaid) to the Democratic Party in an effort to make Oregon a one-party state.  

Now, it is time for Democrats to evolve.

P.S.  Would you prefer a locked gate or armed guards?",toxic,psychiatric_or_mental_illness
243541,"This is tragic, and I think it's another direct result of us not addressing our mental health crisis in America.",non-toxic,psychiatric_or_mental_illness
243565,"When we quit locking everyone up in the State Hospital who was 'different' in any way and went to the ""danger to self or others"" standard as the only test for mandatory hospitalization and treatment, we invented these results.   The appellate courts routinely overturn local judges who are concerned about mentally ill people unless that standard is met.  Until they actually harm someone or themselves, if they aren't willing to participate in treatment, nothing can be forced upon them.    I don't see a solution.  Hand wringing just doesn't do it.",non-toxic,psychiatric_or_mental_illness
244391,"The part I find amusing is that everyone is an expert on what the homeless ""are"" and what they ""need."" No one wants to actually see the face of mental illness or desperation or addiction on their street corner. They'll blame the panhandler as well as those who feel compelled to give them aid. Are they the same people who object to using civic money or expanding intervention or training programs?",toxic,psychiatric_or_mental_illness
244404,"OK HHM, let's try to get to the truth of the matter. By history there have always been folk in need who had no sustainable income for various reasons -  roaming ""hobo's"" , addiction, mental illness, etc. So here's the point, in the early days most of these same individuals would seek out odd  "" jobs"" for pay. The ""hobo"" community had a network of  private homes and businesses who hired by the job, day or project. An exchange of work for pay; honor, integrity and a general respect and appreciation for all involved. Fast forward to today. No longer seeking to trade work for cash...we now have panhandling - simply make a sign, stand on a corner and EXPECT people to give you money. It's really not about the unhoused or the addict needing treatment, those needs are already being worked on in almost every community, give money to those causes if inclined. Panhandling is asking/demanding/requesting your money -- without any exchange of effort or work, integrity no longer required.",toxic,psychiatric_or_mental_illness
244449,"I object to any of the thinking that treats ""homeless"" as one homogenous group. That's attractive for people who want to argue, but it's useless in actually dealing with real people. We need to divide these people into at least three groups: 

1. Unable to take care of themselves because of things beyond their control, like mental illness, sickness, old age. That's a damn shame. We're the wealthiest society in the world. We used to take care of these people. That changed in the 1980s.
2. People unable to take care of themselves because of substance abuse. Other countries do way better than we do. Give them treatment. Demand that they get it. Treatment, work, or community service. 
3. People who choose homeless as a lifestyle, a choice they make. Put them to work. Community service. Pay them fairly. Fund it by decriminalizing substance abuse, saving money on jails. 

And begging? Outlaw the behavior, not the people. Figure out which individual belongs to which group. Deal accordingly.",toxic,psychiatric_or_mental_illness
244467,"Tim:  I agree with the points you've made here.  There are many different causes of homelessness and poverty, and we, as a society, are not doing very well addressing any of them.  Indeed, during the Reagan administration funding for mental illness treatment facilities and programs was drastically reduced and tens of thousands of mentally ill individuals were, quite literally, kicked out of treatment facilities.  The VA is a nightmare, with tens of thousands of Vets on the streets waiting for care.  Simply banning panhandling will do nothing to address the many issues the homeless and impoverished face.  As you suggest.......we are the wealthiest nation in the world...can't we do just a little better...   regards, Gary",non-toxic,psychiatric_or_mental_illness
244872,"The kind of messes we are seeing go beyond someone just needing a place to store their stuff. We are talking garbage, used needles, and excrement. Plus bizarre things like large kids' toys when there are no kids around. You hit it on the head when you brought up mental illness. I think the majority of those camping in the big camps full of trash are either mentally ill or on drugs and need genuine assistance, not just a place to camp. Those who are are just down on their luck, but otherwise healthy and productive, tend to find places to crash with friends or sleep in their cars.",toxic,psychiatric_or_mental_illness
